    11.1,S,127.3,W,422
    13.6,S,125.4,W,423
    16.6,S,123.1,W,424
    19.6,S,120.8,W,425
    22.6,S,118.5,W,426
    25.6,S,116.2,W,427
    28.6,S,113.9,W,428
    31.6,S,111.6,W,429
    34.6,S,109.3,W,430
    37.6,S,107.0,W,431
    40.6,S,104.7,W,432
    43.6,S,102.4,W,433
    46.6,S,100.1,W,434
    49.6,S,97.8,W,435
    52.6,S,95.5,W,437
    55.6,S,93.2,W,438
    58.6,S,90.9,W,439
    61.6,S,88.6,W,440
    64.6,S,86.3,W,441
    67.6,S,84.0,W,442
    70.6,S,81.7,W,443
    73.6,S,79.4,W,444
    76.6,S,77.1,W,445
    79.6,S,74.8,W,446
    82.6,S,72.5,W,447
    85.6,S,70.2,W,448
    88.6,S,67.9,W,449
    91.6,S,65.6,W,450
    94.6,S,63.3,W,451
    97.6,S,61.0,W,452
    100.6,S,58.7,W,453
    103.6,S,56.4,W,454
    106.6,S,54.1,W,455
    109.6,S,51.8,W,456
    112.6,S,49.5,W,457
    115.6,S,47.2,W,458
    118.6,S,44.9,W,459
    121.6,S,42.6,W,460
    124.6,S,40.3,W,461
    127.6,S,38.0,W,462
    130.6,S,35.7,W,463
    133.6,S,33.4,W,464
    136.6,S,31.1,W,465
    139.6,S,28.8,W,466
    142.6,S,26.5,W,467
    145.6,S,24.2,W,468
    148.6,S,21.9,W,469
    151.6,S,19.6,W,470
    154.6,S,17.3,W,471
    157.6,S,15.0,W,472
    160.6,S,12.7,W,473
    163.6,S,10.4,W,474
    166.6,S,8.1,W,475
    169.6,S,5.8,W,476
    172.6,S,3.5,W,477
    175.6,S,1.2,W,478
    178.6,S,358.9,W,479
    181.6,S,356.6,W,480
    184.6,S,354.3,W,481
    187.6,S,352.0,W,482
    190.6,S,349.7,W,483
    193.6,S,347.4,W,484
    196.6,S,345.1,W,485
    199.6,S,342.8,W,486
    202.6,S,340.5,W,487
    205.6,S,338.2,W,488
    208.6,S,335.9,W,489
    211.6,S,333.6,W,490
    214.6,S,331.3,W,491
    217.6,S,329.0,W,492
    220.6,S,326.7,W,493
    223.6,S,324.4,W,494
    226.6,S,322.1,W,495
    229.6,S,319.8,W,496
    232.6,S,317.5,W,497
    235.6,S,315.2,W,498
    238.6,S,312.9,W,499
    241.6,S,310.6,W,500
    244.6,S,308.3,W,501
    247.6,S,306.0,W,502
    250.6,S,303.7,W,503
    253.6,S,301.4,W,504
    256.6,S,299.1,W,505
    259.6,S,296.8,W,506
    262.6,S,294.5,W,507
    265.6,S,292.2,W,508
    268.6,S,289.9,W,509
    271.6,S,287.6,W,510
    274.6,S,285.3,W,511
    277.6,S,283.0,W,512
    280.6,S,280.7,W,513
    283.6,S,278.4,W,514
    286.6,S,276.1,W,515
    289.6,S,273.8,W,516
    292.6,S,271.5,W,517
    295.6,S,269.2,W,518
    298.6,S,266.9,W,519
    301.6,S,264.6,W,520
    304.6,S,262.3,W,521
    307.6,S,260.0,W,522
